stop_name,bus_boardings,integration_index,neighborhood
EDEN PARK BLVD AT O'NEIL BLVD,50.0,0.0,Unknown
OXFORD DR AT GIANT EAGLE,50.0,0.0,Unknown
LARIMER AVE OPP WINSLOW ST,190.0,0.0,Larimer
ST JOSEPH ST AT OTTILLA ST,240.0,0.0,Mt. Oliver
GREEN LOT AT BROADWAY AVE,50.0,0.0,Unknown
WASHINGTON PIKE AT SCHULTE ST,50.0,0.0,Unknown
WASHINGTON PIKE OPP #1375,50.0,0.0,Unknown
LINDSAY RD OPP CHERRY TREE DR,50.0,0.0,Unknown
UNIVERSITY BLVD AT TIGER TRAIL,50.0,0.0,Unknown
MT TROY RD AT CRONEMEYER AVE FS,50.0,0.0,Unknown
FORBES RD AT MEADOW ST,50.0,0.0,Unknown
LABELLE ST AT VIRGINIA AVE,50.0,0.0,Mount Washington
HAWKINS AVE AT #504,50.0,0.0,Unknown
JACKS RUN RD OPP CONNIE DR,100.0,0.0,Unknown
WINFIELD ST AT BANK ST,50.0,0.0,Unknown
WEST LIBERTY AVE AT BLAINE ST,100.0,0.0,Brookline
MCCOY RD AT AL SMITH DR,50.0,0.0,Unknown
HWY RT 885 AT LEWIS RUN RD,50.0,0.0,Unknown
FOREST GROVE RD AT SPEER DR,50.0,0.0,Unknown
BOGGS AVE AT PAUL ST,100.0,0.0,Mount Washington
CORNELL AVE AT OAKRIDGE RD,50.0,0.0,Unknown
GILKESON RD AT OLD GILKESON RD,50.0,0.0,Unknown
MURRAY AVE AT AYLESBORO AVE,50.0,0.0,Squirrel Hill North
DELWAR RD OPP RITTER ENGINEERING,50.0,0.0,Unknown
COLBY ST AT MT PLEASANT RD,100.0,0.0,Summer Hill
BEAVER ST AT OSBORNE LN,50.0,0.0,Unknown
CORNELL AVE AT SPRUCE VALLEY DR,50.0,0.0,Unknown
HWY RT 885 OPP SUNSET DR,50.0,0.0,Unknown
MERCHANT ST AT 8TH ST NS,100.0,0.0,Unknown
PERRYSVILLE AVE OPP CHERRYFIELD ST,50.0,0.0,Perry North
FRANKSTOWN RD AT SPRING GROVE RD,50.0,0.0,Unknown
RIDGE AVE OPP BRIGHTON RD,140.0,4.789529651531805,Allegheny West
PERRY HWY AT ROSS PARK AND RIDE - LOWER LOT,290.0,0.0,Unknown
CLIMAX ST AT ESTELLA AVE,50.0,0.0,Beltzhoover
ABER RD AT URBAN DR,140.0,0.0,Unknown
BOWER HILL RD AT SYLVA ST,50.0,0.0,Unknown
MINGO ST AT VANN RD,100.0,0.0,Lincoln-Lemington-Belmar
PEEBLES RD AT DUNCAN AVE NS,50.0,0.0,Unknown
KANE BLVD AT DAVIS ST,50.0,0.0,Unknown
CENTER AVE AT WAVERLY AVE,50.0,0.0,Unknown
ARLINGTON AVE AT FREDERICK ST,50.0,0.0,Unknown
FRANKSTOWN RD OPP 1ST REFORMED CHURCH,50.0,0.0,Unknown
EAST LIBERTY BLVD AT EUCLID AVE,50.0,0.0,East Liberty
HOMEWOOD AVE AT KELLY ST,50.0,2.3287408995400503,Homewood South
56TH ST AT BUTLER ST,50.0,0.0,Upper Lawrenceville
SILVER LANE OPP FALCK RD,100.0,0.0,Unknown
GRAND AVE OPP ARMY CORPS OF ENGINEERS,100.0,0.0,Unknown
MIDDLE AVE AT #526,50.0,0.0,Unknown
MT ROYAL BLVD AT MOREWOOD RD,50.0,0.0,Unknown
MT ROYAL BLVD AT MCELHENY RD,50.0,0.0,Unknown
BENTLEY DR AT KIRKPATRICK ST,50.0,0.0,Terrace Village
MT ROYAL BLVD AT HARTLE RD,100.0,0.0,Unknown
MT ROYAL BLVD AT SHAW PL,50.0,0.0,Unknown
BRINTON AVE OPP RAVINE ST,50.0,0.0,Unknown
BLACK ST AT AIKEN AVE,50.0,0.0,Garfield
JANCEY ST AT VETTER ST,50.0,0.0,Morningside
COCHRAN RD AT CEDAR BLVD,50.0,0.0,Unknown
FREEPORT RD AT POWERS RUN RD FS,50.0,0.0,Unknown
STEUBEN ST AT WHITEWOOD DR FS,50.0,0.0,Crafton Heights
CENTER AVE AT CHALFONTE AVE,100.0,0.0,Unknown
BEAVER ST OPP GLEN MITCHELL RD,100.0,0.0,Unknown
7TH ST EXT AT TIMBER DR,50.0,0.0,Unknown
BUTLER ST OPP #6002,50.0,0.0,Upper Lawrenceville
FOREST AVE AT 6TH ST,100.0,0.0,Unknown
CENTER AVE OPP #360,50.0,0.0,Unknown
MT ROYAL BLVD AT DEHAVEN CT,50.0,0.0,Unknown
HWY RT 885 AT GORDONS LN,50.0,0.0,Unknown
LADOGA ST AT KATHY DR,50.0,0.0,Windgap
LINDSAY RD AT SWALLOW HILL RD,50.0,0.0,Unknown
ROBB ST AT HELEN ST,100.0,0.0,Unknown
SUMMIT PARK DR AT PARK LANE #1,50.0,0.0,Unknown
SUMMIT PARK DR OPP PARK LANE #1,190.0,0.0,Unknown
WASHINGTON AVE OPP MURRAY ST,140.0,0.0,Unknown
WM PENN HWY AT RED LOBSTER,50.0,0.0,Unknown
LINCOLN AVE OPP JOSHUA ST,50.0,0.0,Lincoln-Lemington-Belmar
ARCH ST AT NORTH AVE,50.0,2.7461284313969774,Allegheny Center
ST CLAIR AVE AT STATE ST FS,50.0,0.0,Unknown
HAWKINS AVE AT #509,100.0,0.0,Unknown
CALIFORNIA AVE OPP ST JOHN'S CHURCH,100.0,0.0,Marshall-Shadeland
MANHATTAN ST AT N FRANKLIN ST,140.0,0.0,Manchester
AIKEN AVE AT ROSETTA ST,100.0,24.851217232346755,Garfield
SOUTH SIDE AVE AT MATHIAS ST,100.0,0.0,Spring Hill-City View
WEST BUSWAY AT CARNEGIE STATION,240.0,0.0,Unknown
NEGLEY AVE AT HAYS ST,100.0,0.0,East Liberty
LINCOLN AVE AT CHURCHLAND ST,100.0,0.0,Lincoln-Lemington-Belmar
5TH AVE AT LOCUST ST NS,50.0,0.0,Unknown
LINCOLN AVE AT ROWAN ST,50.0,0.0,Lincoln-Lemington-Belmar
GREENTREE RD AT MANILLA AVE FS,100.0,0.0,Unknown
UNIVERSITY DR AT EDEN PARK BLVD,100.0,0.0,Unknown
WOODLAND AVE AT BRIGHTON RD,100.0,0.0,Marshall-Shadeland
PITTSBURGH ST AT SCHOOL ST FS,240.0,0.0,Unknown
ARDMORE BLVD AT MARLBORO AVE FS,50.0,0.0,Unknown
LOWRIE ST AT DEHAVEN ST FS,50.0,0.0,Troy Hill
HELEN ST AT ROBB ST (MUNSON AVE),380.0,0.0,Unknown
WILKINS AVE OPP WORTH ST,50.0,0.0,Point Breeze
7TH ST AT PROSPECT AVE,50.0,0.0,Unknown
BRINTON RD OPP KINGS RD,50.0,0.0,Unknown
GRAND AVE OPP VON STEIN LN,100.0,0.0,Unknown
FREEPORT RD OPP GUYS RUN RD,50.0,0.0,Unknown
FREEPORT RD AT MURRAY HILL RD,50.0,0.0,Unknown
FOREST AVE AT RAVENSWOOD AVE,50.0,0.0,Unknown
IRVINE ST AT BERWICK ST,50.0,0.901368892384445,Hazelwood
NOBLESTOWN RD OPP #2120 (SHOP-N-SAVE DR #2),50.0,0.0,Westwood
CONNISTON AVE AT CALLE ST,50.0,0.0,Bon Air
KENNEDY AVE AT 4TH ST,50.0,0.0,Unknown
RIDC PARK TERMINAL,430.0,0.0,Unknown
BAUSMAN ST AT ROMEYN ST,50.0,0.0,Knoxville
MIFFLIN RD AT MOHRBACH ST FS,50.0,0.0,Lincoln Place
LINCOLN AVE AT #409,240.0,4.065273238316796,Larimer
BOGGS AVE AT WARRINGTON AVE FS,100.0,0.0,Mount Washington
ARLINGTON AVE AT NEWTON ST,50.0,0.0,South Side Slopes
GREENTREE RD AT VIRGINIA MANOR SC DRIVEWAY,100.0,0.0,Unknown
BOWER HILL RD AT ROCKHILL RD,50.0,0.0,Unknown
BRINTON RD AT MCKELVEY RD,50.0,0.0,Unknown
WESTINGHOUSE AVE AT COMMERCE ST,100.0,0.0,Unknown
GAMMA DR OPP ZOLL DRIVEWAY,50.0,0.0,Unknown
STATE ST AT LOCUST AVE FS,240.0,0.0,Unknown
WINDGAP AVE AT BELHURST AVE,50.0,0.0,Windgap
CEDAR BLVD AT SALEM DR,50.0,0.0,Unknown
MIDDLE AVE AT 2ND ST,140.0,0.0,Unknown
WALLACE AVE AT PITT ST,240.0,5.550180894290505,Unknown
PEEBLES RD AT REMINGTON DR,50.0,0.0,Unknown
BEAVER ST AT GLEN MITCHELL RD,50.0,0.0,Unknown
FREEPORT RD OPP POWERS RUN RD,50.0,0.0,Unknown
ALPHA DR AT FREEPORT RD,50.0,0.0,Unknown
EVANS ST AT MCKEESPORT HOSPITAL EMERGENCY,50.0,0.0,Unknown
HWY RT 51 AT DICK CORPORATION DR,100.0,0.0,Unknown
LEBANON CHURCH RD AT COUNTY AIRPORT ENTRANCE,100.0,0.0,Unknown
